timestamp,transcription
(2.0:15.0),Tá.
(2.0:15.0),"Falando em relação ao comercial, o atendimento de executivo de vendas de vocês?"
(2.0:22.0),"Ah, ela acendia bem, aí, ultimamente, manda em meio mensagem, ela não responde mais tão."
(2.0:29.0),"Entendi, então você não tem mais contato?"
(2.0:32.0),"Não, até tenho contato dela, mas eu mando o puisense que nem recentemente ela me mandou sobre licenço, né?"
(2.0:40.0),"Que tava, puisense, mas a gente tem cinco licenços, esse deu, tipo, a pessoa,"
(2.0:44.0),"que deveria fazer um trabalho temporário nesse norte-seman, acabou acessando e junto com as outras pessoas, entendeu?"
(2.0:50.0),"E aí eu mando respondi o e-mail dela, mandei mensagem no WhatsApp, mas eu não tive resposta dela não."
(2.0:56.0),"Então eu não sei o que aconteceu no Céssaro, ela mudou de chamar, mas não respondeu no e-mail, né?"
(3.0:2.0),"Ah, eu não tive resposta, tá?"
(3.0:5.0),"Nessa última interação que eu tira, ela não me respondeu nem no WhatsApp e nem no e-mail."
(3.0:10.0),Aí eu não sei o que pode ter acontecido.
(3.0:15.0),"Entendi, então a valha enquanto eu desaradé."
(3.0:19.0),"Não, eu vou dar um sete, ela sempre me adedeu bem, mas eu te machucava a minha interação, não me adedeu não."
(3.0:25.0),"Tá bom. Em relação aos cursos e valores os produtos contratados, como o seu avaliado era, des?"
(3.0:32.0),"Ah, tá dentro da magia assim, eu confidei."
(3.0:36.0),"Então eu não tenho muita experiência dentro de outros, né?"
(3.0:39.0),"Por que eu não tenho muita experiência, eu não tenho muita experiência dentro de outros, né?"
(3.0:56.0),Então o seu avaliado era das quantas?
(3.0:59.0),Mas ali é uma olvida.
(4.0:1.0),"Tá, o atendimento do financeiro, o referente à baleta, os negociações caso precisem, você tem contato?"
(4.0:7.0),"Mostra aí, quando eu preciso ir me responder na olga, muito rápido, entendeu?"
(4.0:12.0),"Porque eu preciso ir ver que é só assim, a fatura, tipo, o valor, né?"
(4.0:17.0),"Que foi uma posição de GPN, né?"
(4.0:19.0),"As suas correitas que tem nos valores, me respondeu rapidamente."
(4.0:25.0),"Então, vou dar uma ideia, vamos?"
(4.0:26.0),Está aí no óbio.
(4.0:29.0),"Essa é a situação como a implantação do software, o seu participo da implantação?"
(4.0:34.0),"Muito, olha só, eu vou te falar, verdade. Quem implantou para uma empresa na Ápoli, foi a sótua e diga a poeja."
(4.0:43.0),"Desde 2016, desde 2015, quem se começaram a sair pela tação,"
(4.0:50.0),"2018, tinha terminado, eu fui contratar a gente para finalizar a terça que ir lá e foi o terça, entendeu?"
(4.0:59.0),"Então, se você falar para mim, eu assim, eu não participei na implantação,"
(5.0:4.0),"mas eu fui contratar justamente para ter uma a ela, porque a sua afirgadora não conseguiu te levar, entendeu?"
(5.0:10.0),"Agora, eu não sei porque parece que pessoas saíram, entendeu?"
(5.0:14.0),"Se você saiu para o teu jeito, não é?"
(5.0:17.0),"Então, se você se preocupa com a mape, e também se preocupa com a tua figura,"
(5.0:20.0),eu não posso só preocupar tudo na sua afirgadora poeja.
(5.0:24.0),"Porque, assim, alguém vai contar, né?"
(5.0:27.0),"Vontagem para você, não é?"
(5.0:28.0),"Você vai se preocupar com a tua figura, o pessoal da napo, e conhece o palatratro de grapo,"
(5.0:32.0),"você vai se preocupar com a sua napo, e você vai se preocupar com a sua napo,"
(5.0:36.0),"porque eu vou falar pra aí, você vai se preocupar aí, se você está perguntando para mim,"
(5.0:41.0),"eu dá um set para a tua figura, porque eu já tive seguido o outro interesse para trabalhar com a tua figura."
(5.0:49.0),Você deu?
(5.0:50.0),"Na verdade, quando ela não é que chamava a tua figura, chamava a sua tesoubena,"
(5.0:54.0),e ali em que ela foi um antiga empresa que eu trabalhava.
(5.0:58.0),"Então, hoje o sistema ele está entregando o benefício que você precisa,"
(6.0:2.0),"a entrada totalmente, personalmente, a entrada."
(6.0:4.0),"Então, o interagre depois foi doente do uso,"
(6.0:7.0),"porque ele teve isso, e quando ele vai ficar, você tem ele,"
(6.0:11.0),"para ter que usar o modo de fazer a sua opção, realmente."
(6.0:15.0),"Totalmente, né?"
(6.0:16.0),"Como faz experiência do senhor com a atualização dos software, da dessa nem?"
(6.0:22.0),"Ah, pra mim, tem a primeira, viu?"
(6.0:25.0),"Beleza, é a primeira, só essa alva aí, a trustless fund,"
(6.0:28.0),"e o relijo é isso, que vai me fazer ter que fazer a sua beta programador,"
(6.0:33.0),"que para poder ajustar a tua figura, pode para funcionar,"
(6.0:37.0),"hoje funcionar isso não coisa, mas acho que a tua vida é ter dado mais prazo,"
(6.0:41.0),"porque tem isso que tem muita pressão do discussão, né?"
(6.0:47.0),"E a gente trabalha com programadores pontuais,"
(6.0:50.0),"então isso já é um pouquinho alto, tá incrível."
(6.0:52.0),Eu vou ter que contratar um programador que ajustar 256 estômicas afanjo que eu tenho na bala.
(7.0:0.0),"E ele já expira agora, viu?"
(7.0:3.0),E como será a valência com as atualizações?
(7.0:7.0),"Não, com as atualizações passadas, não tinha mudança,"
(7.0:10.0),"eu não era de uma aula, agora foi essa nova alva aí para a falta de tempo,"
(7.0:12.0),"não tinha um cedo, que eu acho que queria que serveis algo mais sem fazer tudo o problema."
(7.0:19.0),"Mas acontece aqui, o que você tem que seguir feio, né?"
(7.0:26.0),Então não está feio isso?
(7.0:28.0),"Não, vou dar um 8 para a atualizações."
(7.0:34.0),"Eu deria a sua pausa, mas você está cantando com uma filha."
(7.0:39.0),"Algo que eu ainda não fiz, então usem de uso da feio,"
(7.0:42.0),pois a sua filha não é que eu fiz.
(7.0:46.0),"Para finalizar, então, o Georgia Pessas-Toravali também terá essa atendimentalizada para a atualiza de virapoeira,"
(7.0:52.0),"a unidade de ressensão sabe aí, por vocês."
(7.0:54.0),"Onde eu daria? Não, o 7."
(7.0:58.0),"Salá essas perguntas, você tem algum comentário final, mas algum ponto?"
(8.0:2.0),"Não, não, isso mesmo."
(8.0:4.0),"Não, teria alguma empresa que você iria indicar para a gente?"
(8.0:8.0),Algum empresa para indicar?
(8.0:10.0),E isso para a gente oferecer nosso produto?
(8.0:15.0),Você pode asseguir ser um DPP ou chamado Grand Torson.
(8.0:21.0),"Mas Grand Torson, eles já usavam por pelo que eles tinham esse problema,"
(8.0:26.0),"aí eles formavam um novo DPP ou de novo, e estão usando outros ciscenas."
(8.0:32.0),Aí talvez você tenha uma oportunidade de vocês.
(8.0:35.0),É Grand Torson.
(8.0:37.0),"Isso, Grand Torson."
(8.0:39.0),"Bem, já é um planeta de Mercedes, vai estar se acertando aí para o seu mapa."
(8.0:45.0),"É, porque se desmancharam e agora voltaram de novo como Grand Torson, porque eles já agotem preto."
(8.0:51.0),"Isso que é assim, hein?"
(8.0:51.0),"É, empresa de BPO, de Soria, com Soria, quando ela está um acende, os requisitos da Macris fora,"
(8.0:59.0),"eles chegaram no nome da empresa, ela não te quer mais, eu estou com a KPL,"
(9.0:3.0),"e agora voltou em um ponto de gol, entendeu?"
(9.0:8.0),"Sim, está bom, então eu coloco aqui."
(9.0:11.0),"Muito obrigada, Sergio, hoje a acompanhamento ocorre nos meses, um ano,"
(9.0:15.0),"está sendo período, retornaremos, retornaremos contato."
(9.0:18.0),Está bom.
(9.0:19.0),"Então ótimo trabalho, tchau."
(9.0:22.0),Obrigada.
,
Estatísticas,
Total de palavras,1603
Palavras por minuto,170.78021236549594
Percentual de palavras mágicas,0.06238303181534623
a,56
o,47
eu,40
que,40
de,34
não,30
e,30
para,23
um,20
você,19
é,18
com,16
tem,16
se,14
da,12
do,12
né?,12
mas,12
senhor,11
está,11
"não,",11
na,10
ela,10
então,10
me,9
no,9
porque,9
sua,9
como,8
aí,8
"então,",8
uma,8
vai,8
isso,7
ter,7
vou,7
tua,7
seu,6
fazer,6
gente,6
tá,6
empresa,6
em,6
"aí,",6
entendeu?,6
foi,6
já,6
"bem,",5
experiência,5
bom.,5
só,5
algum,5
essa,5
mais,5
tenho,5
"assim,",5
"figura,",5
preocupar,5
grand,5
eles,5
tudo,4
"isso,",4
bem,4
dos,4
agora,4
muito,4
atendimento,4
"ah,",4
as,4
te,4
muita,4
quando,4
ele,4
bom,3
é?,3
pelo,3
preciso,3
acompanhamento,3
vocês.,3
estão,3
esse,3
dois,3
ponto,3
ao,3
também,3
falando,3
suporte,3
relação,3
nem,3
tive,3
sei,3
respondeu,3
pode,3
dar,3
os,3
dentro,3
por,3
ir,3
tinha,3
contratar,3
"mim,",3
"napo,",3
hoje,3
torson.,3
"olá,",2
dia.,2
olá.,2
(0.0:6.0),2
isso.,2
estou,2
(0.0:19.0),2
contato,2
rápido,2
ainda,2
"empresa,",2
pontos,2
e-mail,2
mesmo.,2
pela,2
"0-10,",2
comentário,2
pouquinho,2
"também,",2
caso,2
tá?,2
"técnico,",2
avalia,2
teve,2
sendo,2
tá.,2
(2.0:15.0),2
"entendi,",2
contato?,2
"dela,",2
mando,2
"tipo,",2
não.,2
adedeu,2
avaliado,2
"outros,",2
era,2
ali,2
nos,2
"software,",2
quem,2
poeja.,2
desde,2
fui,2
falar,2
afirgadora,2
"agora,",2
preocupa,2
pra,2
chamava,2
"totalmente,",2
"primeira,",2
viu?,2
alva,2
ajustar,2
acho,2
algo,2
"feio,",2
dpp,2
ou,2
"torson,",2
novo,2
"é,",2
(8.0:51.0),2
"soria,",2
(0.0:1.0),1
(0.0:3.0),1
(0.0:5.0),1
(0.0:7.0),1
fala,1
"jogo,",1
tê,1
cheira.,1
(0.0:8.0),1
(0.0:9.0),1
jogo,1
chamou,1
"betrias,",1
falou,1
fox.,1
(0.0:12.0),1
bem?,1
(0.0:13.0),1
betrias.,1
(0.0:14.0),1
(0.0:15.0),1
fala.,1
(0.0:16.0),1
eu...,1
(0.0:17.0),1
"obrigado,",1
ouvindo,1
agora.,1
senhor?,1
(0.0:20.0),1
"fala,",1
jogo.,1
(0.0:22.0),1
meu,1
simples.,1
(0.0:24.0),1
seria,1
restaunçada,1
(0.0:25.0),1
tema,1
pola,1
super,1
inteis,1
areal?,1
(0.0:29.0),1
sim.,1
(0.0:30.0),1
falo,1
parte,1
"cliente,",1
novo.,1
(0.0:33.0),1
saber,1
percepção,1
(0.0:37.0),1
"simples,",1
"porém,",1
importante,1
entender,1
tendo.,1
(0.0:43.0),1
feito,1
método,1
nps.,1
(0.0:46.0),1
"avalia,",1
"somente,",1
"zero,",1
zamarca,1
toth.,1
(0.0:48.0),1
"específicos,",1
"duro,",1
"minutinhos,",1
bom?,1
(0.0:51.0),1
(0.0:52.0),1
confirmando,1
cnpj,1
"11,",1
"319,",1
"799,000,000,",1
contra,1
"9,930.",1
(0.0:58.0),1
(0.0:59.0),1
sircontinuio,1
"cheira,",1
rouba,1
polha,1
"consultaria,",1
quanto,1
berre.,1
(1.0:4.0),1
(1.0:6.0),1
obrigada,1
confirmação.,1
(1.0:7.0),1
iniciando,1
meiscala,1
"senhor,",1
probabilidade,1
recomendar,1
todos,1
amigo,1
colega,1
hoje.,1
(1.0:14.0),1
"visão,",1
tem?,1
(1.0:16.0),1
novos?,1
(1.0:17.0),1
gostaria,1
deixar,1
branota?,1
(1.0:22.0),1
"sistema,",1
toda,1
lei,1
dislação.,1
(1.0:26.0),1
monte,1
"surpreendentes,",1
pouco,1
lizi.,1
(1.0:29.0),1
todo,1
mundo,1
poubal.,1
(1.0:31.0),1
estar.,1
(1.0:35.0),1
(1.0:37.0),1
(1.0:38.0),1
aprofundar,1
"melhoria,",1
forar,1
alguns,1
específicos,1
férsicos.,1
(1.0:42.0),1
avali,1
após,1
"contato,",1
(1.0:47.0),1
realidade,1
técnico?,1
(1.0:52.0),1
(1.0:53.0),1
problema,1
liga,1
resolvendo.,1
(1.0:58.0),1
uh-huh.,1
(1.0:59.0),1
menta,1
prazo.,1
(2.0:1.0),1
desveradete.,1
(2.0:2.0),1
"esferriar,",1
(2.0:3.0),1
daí.,1
(2.0:4.0),1
(2.0:5.0),1
agentes,1
"suporte,",1
(2.0:9.0),1
agentes?,1
(2.0:11.0),1
são,1
bons.,1
(2.0:13.0),1
qualificados.,1
"comercial,",1
executivo,1
vendas,1
vocês?,1
(2.0:22.0),1
acendia,1
"ultimamente,",1
manda,1
meio,1
"mensagem,",1
responde,1
tão.,1
(2.0:29.0),1
(2.0:32.0),1
até,1
puisense,1
recentemente,1
mandou,1
sobre,1
"licenço,",1
(2.0:40.0),1
"tava,",1
"puisense,",1
cinco,1
"licenços,",1
"deu,",1
"pessoa,",1
(2.0:44.0),1
deveria,1
trabalho,1
temporário,1
nesse,1
"norte-seman,",1
acabou,1
acessando,1
junto,1
outras,1
"pessoas,",1
(2.0:50.0),1
respondi,1
mandei,1
mensagem,1
"whatsapp,",1
resposta,1
dela,1
(2.0:56.0),1
aconteceu,1
"céssaro,",1
mudou,1
"chamar,",1
"e-mail,",1
(3.0:2.0),1
"resposta,",1
(3.0:5.0),1
nessa,1
última,1
interação,1
"tira,",1
whatsapp,1
e-mail.,1
(3.0:10.0),1
acontecido.,1
(3.0:15.0),1
valha,1
enquanto,1
desaradé.,1
(3.0:19.0),1
"sete,",1
sempre,1
machucava,1
minha,1
"interação,",1
(3.0:25.0),1
aos,1
cursos,1
valores,1
produtos,1
"contratados,",1
"era,",1
des?,1
(3.0:32.0),1
magia,1
confidei.,1
(3.0:36.0),1
(3.0:39.0),1
"experiência,",1
(3.0:56.0),1
das,1
quantas?,1
(3.0:59.0),1
olvida.,1
(4.0:1.0),1
"tá,",1
"financeiro,",1
referente,1
à,1
"baleta,",1
negociações,1
"precisem,",1
(4.0:7.0),1
mostra,1
responder,1
"olga,",1
"rápido,",1
(4.0:12.0),1
ver,1
"fatura,",1
"valor,",1
(4.0:17.0),1
posição,1
"gpn,",1
(4.0:19.0),1
suas,1
correitas,1
"valores,",1
rapidamente.,1
(4.0:25.0),1
"ideia,",1
vamos?,1
(4.0:26.0),1
óbio.,1
(4.0:29.0),1
situação,1
implantação,1
participo,1
implantação?,1
(4.0:34.0),1
"muito,",1
olha,1
"só,",1
"falar,",1
verdade.,1
implantou,1
"ápoli,",1
sótua,1
diga,1
(4.0:43.0),1
"2016,",1
"2015,",1
começaram,1
sair,1
"tação,",1
(4.0:50.0),1
"2018,",1
"terminado,",1
finalizar,1
terça,1
lá,1
"terça,",1
(4.0:59.0),1
participei,1
"implantação,",1
(5.0:4.0),1
justamente,1
"ela,",1
conseguiu,1
"levar,",1
(5.0:10.0),1
parece,1
pessoas,1
"saíram,",1
(5.0:14.0),1
saiu,1
teu,1
"jeito,",1
(5.0:17.0),1
"mape,",1
(5.0:20.0),1
posso,1
(5.0:24.0),1
"porque,",1
alguém,1
"contar,",1
(5.0:27.0),1
vontagem,1
"você,",1
(5.0:28.0),1
pessoal,1
conhece,1
palatratro,1
"grapo,",1
(5.0:32.0),1
(5.0:36.0),1
perguntando,1
(5.0:41.0),1
dá,1
set,1
seguido,1
outro,1
interesse,1
trabalhar,1
figura.,1
(5.0:49.0),1
deu?,1
(5.0:50.0),1
"verdade,",1
"tesoubena,",1
(5.0:54.0),1
antiga,1
trabalhava.,1
(5.0:58.0),1
sistema,1
entregando,1
benefício,1
"precisa,",1
(6.0:2.0),1
entrada,1
"personalmente,",1
entrada.,1
(6.0:4.0),1
interagre,1
depois,1
doente,1
"uso,",1
(6.0:7.0),1
"ficar,",1
"ele,",1
(6.0:11.0),1
usar,1
modo,1
"opção,",1
realmente.,1
(6.0:15.0),1
(6.0:16.0),1
faz,1
atualização,1
dessa,1
nem?,1
(6.0:22.0),1
(6.0:25.0),1
"beleza,",1
trustless,1
"fund,",1
(6.0:28.0),1
relijo,1
beta,1
"programador,",1
(6.0:33.0),1
poder,1
"funcionar,",1
(6.0:37.0),1
funcionar,1
"coisa,",1
vida,1
dado,1
"prazo,",1
(6.0:41.0),1
pressão,1
"discussão,",1
(6.0:47.0),1
trabalha,1
programadores,1
"pontuais,",1
(6.0:50.0),1
"alto,",1
incrível.,1
(6.0:52.0),1
programador,1
256,1
estômicas,1
afanjo,1
bala.,1
(7.0:0.0),1
expira,1
(7.0:3.0),1
será,1
valência,1
atualizações?,1
(7.0:7.0),1
atualizações,1
"passadas,",1
"mudança,",1
(7.0:10.0),1
"aula,",1
nova,1
falta,1
"tempo,",1
(7.0:12.0),1
"cedo,",1
queria,1
serveis,1
sem,1
problema.,1
(7.0:19.0),1
acontece,1
"aqui,",1
seguir,1
(7.0:26.0),1
feio,1
isso?,1
(7.0:28.0),1
8,1
atualizações.,1
(7.0:34.0),1
deria,1
"pausa,",1
cantando,1
filha.,1
(7.0:39.0),1
"fiz,",1
usem,1
uso,1
(7.0:42.0),1
pois,1
filha,1
fiz.,1
(7.0:46.0),1
"finalizar,",1
georgia,1
pessas-toravali,1
terá,1
atendimentalizada,1
atualiza,1
"virapoeira,",1
(7.0:52.0),1
unidade,1
ressensão,1
sabe,1
(7.0:54.0),1
onde,1
daria?,1
7.,1
(7.0:58.0),1
salá,1
essas,1
"perguntas,",1
"final,",1
ponto?,1
(8.0:2.0),1
(8.0:4.0),1
teria,1
alguma,1
iria,1
indicar,1
gente?,1
(8.0:8.0),1
indicar?,1
(8.0:10.0),1
oferecer,1
nosso,1
produto?,1
(8.0:15.0),1
asseguir,1
ser,1
chamado,1
(8.0:21.0),1
usavam,1
tinham,1
"problema,",1
(8.0:26.0),1
formavam,1
"novo,",1
usando,1
outros,1
ciscenas.,1
(8.0:32.0),1
talvez,1
tenha,1
oportunidade,1
(8.0:35.0),1
(8.0:37.0),1
(8.0:39.0),1
planeta,1
"mercedes,",1
estar,1
acertando,1
mapa.,1
(8.0:45.0),1
desmancharam,1
voltaram,1
agotem,1
preto.,1
hein?,1
"bpo,",1
"acende,",1
requisitos,1
macris,1
"fora,",1
(8.0:59.0),1
chegaram,1
nome,1
quer,1
"mais,",1
"kpl,",1
(9.0:3.0),1
voltou,1
"gol,",1
(9.0:8.0),1
"sim,",1
"bom,",1
coloco,1
aqui.,1
(9.0:11.0),1
"obrigada,",1
"sergio,",1
ocorre,1
"meses,",1
"ano,",1
(9.0:15.0),1
"período,",1
"retornaremos,",1
retornaremos,1
contato.,1
(9.0:18.0),1
(9.0:19.0),1
ótimo,1
"trabalho,",1
tchau.,1
(9.0:22.0),1
obrigada.,1
