timestamp,transcription
precisem.,1
(4.0:21.0),1
também,1
mexe.,1
(4.0:24.0),1
satisação,1
entrantação,1
"software,",1
(4.0:26.0),1
alistava,1
implantado?,1
(4.0:28.0),1
(4.0:29.0),1
(4.0:30.0),1
hoje,1
benefício,1
"precisa,",1
(4.0:33.0),1
entrada,1
"totalmente,",1
"personalmente,",1
entrega.,1
(4.0:38.0),1
totalmente.,1
(4.0:41.0),1
senhora,1
atualização,1
software?,1
(4.0:45.0),1
acalizaram?,1
(4.0:46.0),1
afinal,1
diferença?,1
(4.0:50.0),1
(4.0:51.0),1
(4.0:52.0),1
"atualização,",1
nós,1
aqui.,1
(4.0:57.0),1
afinal?,1
(4.0:59.0),1
ciência,1
atualizou?,1
atualizado,1
diferença.,1
conseguido,1
boletos?,1
(5.0:4.0),1
ganho?,1
(5.0:7.0),1
9?,1
(5.0:9.0),1
9.,1
"finalizar,",1
peste,1
avaliço,1
(5.0:12.0),1
desotendimento,1
realizada,1
tópus,1
(5.0:14.0),1
unidades,1
(5.0:16.0),1
(5.0:19.0),1
deles.,1
(5.0:21.0),1
7.,1
(5.0:23.0),1
faça,1
"segunda,",1
(5.0:25.0),1
(5.0:26.0),1
(5.0:27.0),1
(5.0:29.0),1
ocorre,1
cada,1
seis,1
meses.,1
(5.0:32.0),1
passando,1
"período,",1
retornamos,1
(5.0:34.0),1
dúvida,1
(5.0:36.0),1
(5.0:37.0),1
(5.0:38.0),1
está.,1
(5.0:39.0),1
empresa,1
rejeia,1
cá,1
gente?,1
(5.0:43.0),1
momento,1
não?,1
(5.0:45.0),1
recordo.,1
(5.0:47.0),1
agradeço,1
ótimo,1
dia,1
(5.0:50.0),1
vão,1
base.,1
(5.0:51.0),1
cena.,1
(5.0:52.0),1
