timestamp,transcription
colega,1
hoje.,1
(2.0:1.0),1
(2.0:3.0),1
gussera,1
nexat,1
sobre,1
nota?,1
(2.0:7.0),1
(2.0:8.0),1
aprofundar,1
"melhoria,",1
(2.0:11.0),1
agora,1
suar,1
alguns,1
"necessitos,",1
(2.0:13.0),1
péssica,1
"valhisa,",1
principalmente,1
(2.0:16.0),1
água,1
conta.,1
(2.0:17.0),1
suporte,1
"técnico,",1
valhisa,1
lidade,1
processos,1
suporte?,1
(2.0:24.0),1
chamados,1
abre,1
aí.,1
(2.0:27.0),1
isso?,1
(2.0:28.0),1
(2.0:30.0),1
(2.0:31.0),1
agente,1
(2.0:34.0),1
analistas,1
lidam,1
vocês.,1
(2.0:37.0),1
oito,1
também.,1
(2.0:38.0),1
"comercial,",1
(2.0:41.0),1
ex-activo,1
vendas.,1
(2.0:45.0),1
"hmm,",1
aninhógen.,1
(2.0:49.0),1
os,1
custos,1
valores,1
produtos,1
atados?,1
(2.0:54.0),1
(2.0:55.0),1
administrativo,1
"financeiro,",1
(2.0:57.0),1
boletos,1
negocições.,1
(2.0:59.0),1
(3.0:1.0),1
"satisfação,",1
implantação,1
(3.0:4.0),1
implantação?,1
(3.0:6.0),1
(3.0:8.0),1
senhora?,1
(3.0:11.0),1
(3.0:13.0),1
hoje,1
sai,1
entregando,1
benefício,1
"precisa,",1
(3.0:16.0),1
entrega,1
entrega.,1
(3.0:22.0),1
"falou,",1
entrega?,1
(3.0:25.0),1
entregou.,1
(3.0:31.0),1
especialmente.,1
(3.0:33.0),1
experiência,1
salização,1
(3.0:38.0),1
já,1
apalizaram?,1
(3.0:40.0),1
desaradessuam,1
sua,1
baninha?,1
(3.0:43.0),1
"localização,",1
diversão?,1
(3.0:46.0),1
"recente,",1
pode,1
diversão,1
"relizes,",1
(3.0:50.0),1
"nógeno,",1
certo.,1
(3.0:56.0),1
finaliza,1
péssico,1
valido,1
"também,",1
(3.0:58.0),1
dessa,1
sensibilizar,1
tosse,1
"preto,",1
unidade,1
vocês?,1
(4.0:4.0),1
atencimento,1
"dele,",1
"especial,",1
"analisca,",1
bastante,1
alíol.,1
(4.0:11.0),1
bom.,1
(4.0:12.0),1
final?,1
deixar?,1
(4.0:15.0),1
(4.0:17.0),1
"acompanhamento,",1
ocorre,1
cada,1
(4.0:21.0),1
está,1
sendo,1
"período,",1
retornamos,1
contato.,1
(4.0:24.0),1
"só,",1
"rede,",1
capaz,1
(4.0:28.0),1
"contatos,",1
daí,1
(4.0:31.0),1
outro,1
gestor,1
possa,1
(4.0:36.0),1
outros,1
pejófos.,1
(4.0:37.0),1
hein?,1
(4.0:39.0),1
passar,1
período,1
(4.0:42.0),1
há,1
"ano,",1
retornou,1
"contato,",1
nesse,1
pejóto?,1
(4.0:46.0),1
alguma,1
indicar?,1
(4.0:50.0),1
(4.0:52.0),1
(4.0:53.0),1
agradecer,1
retornátima,1
ir,1
trabalho?,1
(4.0:56.0),1
tchau.,1
(4.0:57.0),1
(4.0:59.0),1
